  
       XFOIL         Version 6.99
  
 Calculated polar for: HT 14                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.243 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   1.3128   0.05895   0.05201  -0.1798   0.0618   0.6287
   1.500   1.4555   0.05923   0.05243  -0.1723   0.0320   0.6600
   3.000   1.6031   0.06520   0.05962  -0.1653   0.0224   0.6938
   3.500   1.6226   0.06984   0.06479  -0.1594   0.0211   0.7013
   4.000   1.6111   0.07682   0.07272  -0.1500   0.0204   0.7074
   4.500   1.5787   0.08564   0.08234  -0.1402   0.0204   0.7124
   5.000   1.5341   0.09511   0.09247  -0.1318   0.0205   0.7144
   5.500   1.4863   0.10634   0.10427  -0.1277   0.0207   0.7164
   6.000   1.4367   0.12036   0.11872  -0.1307   0.0210   0.7180
